Epoch, Average Train Loss, Last Batch Train Loss
1, 0.6866, 0.4014
2, 0.6282, 0.4117
3, 0.5915, 0.4189
4, 0.6006, 0.9865
5, 0.5862, 0.6084
6, 0.6282, 0.9745
7, 0.5500, 0.2840
8, 0.5410, 0.3088
9, 0.5650, 0.4346
10, 0.5332, 0.6465
11, 0.5435, 0.6373
12, 0.5262, 0.4906
13, 0.5484, 0.5189
14, 0.5524, 0.7907
15, 0.5309, 0.2877
16, 0.5406, 0.6512
17, 0.5089, 0.9799
18, 0.5040, 0.2599
19, 0.5011, 0.6246
20, 0.5377, 1.1091
21, 0.4977, 0.2126
22, 0.5125, 0.6667
23, 0.5399, 0.3949
24, 0.5505, 1.0692
25, 0.4758, 0.3043
26, 0.5094, 0.4401
27, 0.5026, 0.3677
28, 0.4962, 0.4361
29, 0.4794, 0.8159
30, 0.4595, 0.2995
31, 0.5016, 0.4139
32, 0.4675, 0.3096
33, 0.4859, 0.3004
34, 0.4967, 0.7058
35, 0.4904, 0.7165
36, 0.4870, 0.5085
37, 0.5026, 0.5473
38, 0.4753, 0.3618
39, 0.4638, 0.3956
40, 0.4826, 0.8587
41, 0.4800, 0.6937
42, 0.4386, 0.4141
43, 0.4628, 0.3707
44, 0.5005, 1.0212
45, 0.4726, 0.4029
46, 0.4691, 0.3261
47, 0.4975, 0.9473
48, 0.4694, 0.3516
49, 0.4918, 0.8810
50, 0.4643, 0.5031
