Epoch, Average Train Loss, Last Batch Train Loss
1, 1.5926, 0.7168
2, 2.7270, 4.6795
3, 1.7982, 0.3188
4, 1.3976, 0.7051
5, 1.9616, 2.5575
6, 2.3182, 2.0971
7, 1.3468, 0.0090
8, 0.8573, 0.8124
9, 0.8271, 0.2867
10, 0.6672, 0.6935
11, 0.7998, 0.2363
12, 0.7477, 1.1810
13, 1.3107, 1.1530
14, 0.8096, 0.1635
15, 0.8523, 2.2172
16, 0.8533, 0.7757
17, 0.7072, 0.5061
18, 1.3644, 1.5432
19, 0.6584, 0.9900
20, 0.8575, 1.6459
21, 0.8949, 0.0798
22, 1.0395, 1.6993
23, 0.7483, 0.9106
24, 0.7074, 0.4727
25, 0.7947, 0.3985
26, 0.7633, 1.7015
27, 0.7005, 0.6579
28, 0.5952, 0.1428
29, 0.5418, 0.4869
30, 0.5768, 0.3972
31, 1.0979, 2.0403
32, 1.1534, 0.2646
33, 1.5165, 0.1657
34, 0.8760, 0.3644
35, 0.9728, 0.1369
36, 1.4252, 0.2948
37, 0.5705, 0.6221
38, 0.5453, 0.2440
39, 0.5118, 0.4783
40, 0.4830, 0.7083
41, 0.5095, 0.8233
42, 0.7206, 0.0660
43, 0.5458, 0.6004
44, 0.6369, 0.5361
45, 0.5504, 0.2760
46, 0.5715, 0.8618
47, 0.4885, 0.3748
48, 0.4738, 0.3546
49, 0.4789, 0.3124
50, 0.5496, 0.2299
