Epoch, Average Train Loss, Last Batch Train Loss
1, 6.0287, 5.8496
2, 1.9012, 0.7666
3, 0.7039, 0.0585
4, 0.6437, 0.0579
5, 0.2260, 0.2224
6, 0.1410, 0.2270
7, 0.1585, 1.3544
8, 0.2263, 0.3923
9, 0.0856, 0.1148
10, 0.0728, 0.0593
11, 0.1651, 0.0240
12, 0.0721, 0.0106
13, 0.1137, 0.0053
14, 0.0921, 0.0270
15, 0.0441, 0.0621
16, 0.0347, 0.0218
17, 0.0681, 0.0148
18, 0.0196, 0.0051
19, 0.0909, 1.4345
20, 0.1332, 0.0168
21, 0.1265, 0.0113
22, 0.0411, 0.0059
23, 0.0810, 1.8231
24, 0.1165, 0.0012
25, 0.1669, 1.5398
26, 0.0784, 0.0056
27, 0.0470, 0.0044
28, 0.0241, 0.0040
29, 0.0366, 0.0073
30, 0.0204, 0.0485
31, 0.0264, 0.0438
32, 0.0086, 0.0053
33, 0.0099, 0.0029
34, 0.0235, 0.0009
35, 0.0645, 2.5333
36, 0.0650, 0.4790
37, 0.0386, 0.0011
38, 0.0308, 0.0213
39, 0.0131, 0.0447
40, 0.0181, 0.0089
41, 0.0066, 0.0098
42, 0.0089, 0.0032
43, 0.0592, 0.0033
44, 0.0334, 0.0636
45, 0.0590, 0.8669
46, 0.0954, 0.3249
47, 0.1645, 0.5297
48, 0.0762, 0.0147
49, 0.0286, 0.0008
50, 0.0216, 0.0376
