Fold, Epoch, Train Loss
1, 1, 0.0000
1, 2, 0.0000
1, 3, 0.0000
1, 4, 0.0000
1, 5, 0.0000
1, 6, 0.0000
1, 7, 0.0000
1, 8, 0.0000
1, 9, 0.0000
1, 10, 0.0000
1, 11, 0.0096
1, 12, 0.0057
1, 13, 0.5078
1, 14, 0.1008
1, 15, 0.1636
1, 16, 0.0062
1, 17, 0.2131
1, 18, 0.1737
1, 19, 0.0022
1, 20, 0.0386
2, 1, 0.0461
2, 2, 0.0243
2, 3, 0.0047
2, 4, 0.0164
2, 5, 0.0065
2, 6, 0.0087
2, 7, 0.0015
2, 8, 0.0626
2, 9, 0.0175
2, 10, 0.1487
2, 11, 0.0399
2, 12, 0.1792
2, 13, 0.0113
2, 14, 0.0386
2, 15, 0.0161
2, 16, 0.0608
2, 17, 0.0164
2, 18, 0.0587
2, 19, 0.0436
2, 20, 0.0852
3, 1, 0.1727
3, 2, 0.0390
3, 3, 0.0369
3, 4, 0.1924
3, 5, 0.1266
3, 6, 0.0257
3, 7, 0.0780
3, 8, 0.0095
3, 9, 0.1586
3, 10, 0.2864
3, 11, 0.1704
3, 12, 0.5894
3, 13, 0.1010
3, 14, 0.0505
3, 15, 0.0263
3, 16, 0.0700
3, 17, 0.0580
3, 18, 0.1909
3, 19, 0.0827
3, 20, 0.0245
4, 1, 0.0231
4, 2, 0.0279
4, 3, 0.0153
4, 4, 0.0500
4, 5, 0.0419
4, 6, 0.0352
4, 7, 0.1110
4, 8, 0.0906
4, 9, 0.0373
4, 10, 0.0586
4, 11, 0.0670
4, 12, 0.1070
4, 13, 0.0624
4, 14, 0.0360
4, 15, 0.0950
4, 16, 0.0699
4, 17, 0.0900
4, 18, 0.0854
4, 19, 0.0614
4, 20, 0.0973
5, 1, 0.1639
5, 2, 0.2287
5, 3, 0.1647
5, 4, 0.1454
5, 5, 0.1518
5, 6, 0.2349
5, 7, 0.5048
5, 8, 0.3579
5, 9, 0.4161
5, 10, 0.3963
5, 11, 0.4559
5, 12, 0.2129
5, 13, 0.2032
5, 14, 0.4257
5, 15, 0.4263
5, 16, 0.4435
5, 17, 0.1992
5, 18, 0.2787
5, 19, 0.4718
5, 20, 0.4533
