Fold, Epoch, Last Batch Train Loss, Average Train Loss
1, 1, 1.0962, 4.6149
1, 2, 0.1277, 1.1009
1, 3, 0.1953, 1.2365
1, 4, 0.1596, 1.1389
1, 5, 0.1458, 1.0619
1, 6, 0.0935, 0.9069
1, 7, 0.1430, 1.0609
1, 8, 0.1547, 0.9832
1, 9, 0.1357, 0.9138
1, 10, 0.1567, 0.8392
1, 11, 0.1706, 0.8037
1, 12, 0.1630, 0.8006
1, 13, 0.2484, 0.8535
1, 14, 0.1990, 0.6916
1, 15, 0.1859, 0.7507
1, 16, 0.2059, 0.7965
1, 17, 0.1754, 0.6341
1, 18, 0.1373, 0.6562
1, 19, 0.1592, 0.6110
1, 20, 0.0952, 0.5737
1, 21, 0.0835, 0.5599
1, 22, 0.0549, 0.4008
1, 23, 0.0346, 0.3417
1, 24, 0.0576, 0.4419
1, 25, 0.0435, 0.4605
1, 26, 0.0501, 0.3292
1, 27, 0.0569, 0.2567
1, 28, 0.0294, 0.1775
1, 29, 0.0322, 0.1343
1, 30, 0.0244, 0.0912
1, 31, 0.0158, 0.0950
1, 32, 0.0109, 0.1879
1, 33, 0.0185, 0.3984
1, 34, 0.0230, 0.2369
1, 35, 0.0135, 0.1084
1, 36, 0.0096, 0.1206
1, 37, 0.0148, 0.1216
1, 38, 0.0089, 0.0600
1, 39, 0.0219, 0.0811
1, 40, 0.0181, 0.0639
1, 41, 0.0244, 0.0626
1, 42, 0.0086, 0.0468
1, 43, 0.0051, 0.0576
1, 44, 0.3973, 0.0275
1, 45, 0.0062, 0.0287
1, 46, 0.0079, 0.1373
1, 47, 0.0036, 0.4084
1, 48, 0.0046, 0.2868
1, 49, 0.0057, 0.2831
1, 50, 0.0082, 0.1474
2, 1, 0.0103, 0.1325
2, 2, 0.0080, 0.2026
2, 3, 0.0043, 0.1413
2, 4, 0.0038, 0.1503
2, 5, 0.0046, 0.1532
2, 6, 0.0060, 0.1178
2, 7, 0.0102, 0.1462
2, 8, 0.0052, 0.0448
2, 9, 0.0081, 0.0266
2, 10, 0.0057, 0.0153
2, 11, 0.0037, 0.0139
2, 12, 0.0068, 0.0125
2, 13, 0.0047, 0.0131
2, 14, 0.0074, 0.0122
2, 15, 0.0037, 0.0088
2, 16, 0.0035, 0.0085
2, 17, 0.0063, 0.0101
2, 18, 0.0028, 0.0068
2, 19, 0.0052, 0.0071
2, 20, 0.0024, 0.0055
2, 21, 0.0049, 0.0065
2, 22, 0.0021, 0.0062
2, 23, 0.0022, 0.0051
2, 24, 0.0027, 0.0056
2, 25, 0.0042, 0.0045
2, 26, 0.0017, 0.0039
2, 27, 0.0046, 0.0041
2, 28, 0.0011, 0.0816
2, 29, 0.0012, 0.1789
2, 30, 0.0013, 0.1174
2, 31, 0.0017, 0.2126
2, 32, 0.0030, 0.1193
2, 33, 0.0054, 0.1144
2, 34, 0.0029, 0.0488
2, 35, 0.0010, 0.1161
2, 36, 0.0033, 0.1459
2, 37, 0.0017, 0.1055
2, 38, 0.0013, 0.1603
2, 39, 0.0055, 0.0911
2, 40, 0.0033, 0.2034
2, 41, 0.0020, 0.0787
2, 42, 0.0060, 0.2365
2, 43, 0.0053, 0.0740
2, 44, 0.0035, 0.0590
2, 45, 0.0020, 0.0690
2, 46, 0.0079, 0.1143
2, 47, 0.0040, 0.0087
2, 48, 0.0021, 0.0084
2, 49, 0.0018, 0.0069
2, 50, 0.0020, 0.0243
3, 1, 0.0013, 0.0215
3, 2, 0.0010, 0.0963
3, 3, 0.0015, 0.2311
3, 4, 0.0021, 0.2058
3, 5, 0.0031, 0.1824
3, 6, 0.0128, 0.0518
3, 7, 0.0033, 0.0952
3, 8, 0.0015, 0.0604
3, 9, 0.0079, 0.0451
3, 10, 0.0017, 0.0571
3, 11, 0.0072, 0.1710
3, 12, 0.0043, 0.1573
3, 13, 0.0370, 0.1012
3, 14, 0.0536, 0.0739
3, 15, 0.0493, 0.0189
3, 16, 0.0067, 0.0106
3, 17, 0.0047, 0.0062
3, 18, 0.0044, 0.0067
3, 19, 0.0049, 0.0064
3, 20, 0.0025, 0.0048
3, 21, 0.0028, 0.0043
3, 22, 0.0044, 0.0043
3, 23, 0.0082, 0.0037
3, 24, 0.0038, 0.0035
3, 25, 0.0135, 0.0035
3, 26, 0.0028, 0.0040
3, 27, 0.0025, 0.0032
3, 28, 0.0036, 0.0029
3, 29, 0.0032, 0.0032
3, 30, 0.0125, 0.0031
3, 31, 0.0020, 0.0025
3, 32, 0.0019, 0.0023
3, 33, 0.0030, 0.0024
3, 34, 0.0026, 0.0022
3, 35, 0.0032, 0.0020
3, 36, 0.0027, 0.0023
3, 37, 0.0016, 0.0020
3, 38, 0.0015, 0.0019
3, 39, 0.0012, 0.0017
3, 40, 0.0014, 0.0017
3, 41, 0.0073, 0.0017
3, 42, 0.0014, 0.0016
3, 43, 0.0024, 0.0020
3, 44, 0.0011, 0.0024
3, 45, 0.0015, 0.0018
3, 46, 0.0012, 0.0014
3, 47, 0.0008, 0.0014
3, 48, 0.0013, 0.0014
3, 49, 0.0014, 0.0014
3, 50, 0.0015, 0.0013
4, 1, 0.0001, 0.0962
4, 2, 0.0005, 0.2684
4, 3, 0.0153, 1.5984
4, 4, 0.0550, 1.1821
4, 5, 0.0590, 1.0366
4, 6, 0.0638, 1.0032
4, 7, 0.0763, 1.0354
4, 8, 0.0318, 0.8167
4, 9, 0.1185, 1.0996
4, 10, 0.0618, 0.8417
4, 11, 0.1087, 0.6322
4, 12, 0.1160, 0.5089
4, 13, 0.0289, 0.3628
4, 14, 0.0278, 0.2400
4, 15, 0.0364, 0.2069
4, 16, 0.0202, 0.2154
4, 17, 0.0450, 0.1206
4, 18, 0.0204, 0.1062
4, 19, 0.0131, 0.1462
4, 20, 0.0221, 0.1179
4, 21, 0.0219, 0.0935
4, 22, 0.0417, 0.0621
4, 23, 0.0094, 0.0241
4, 24, 0.0115, 0.0156
4, 25, 0.0065, 0.0158
4, 26, 0.0119, 0.0136
4, 27, 0.0095, 0.0105
4, 28, 0.0053, 0.0096
4, 29, 0.0043, 0.0154
4, 30, 0.0259, 0.0240
4, 31, 0.0093, 0.0205
4, 32, 0.0050, 0.0109
4, 33, 0.0059, 0.0077
4, 34, 0.0030, 0.0077
4, 35, 0.0050, 0.0064
4, 36, 0.0043, 0.0053
4, 37, 0.0027, 0.0052
4, 38, 0.0020, 0.0065
4, 39, 0.0022, 0.0046
4, 40, 0.0042, 0.0042
4, 41, 0.0017, 0.0037
4, 42, 0.0023, 0.0035
4, 43, 0.0016, 0.0033
4, 44, 0.0036, 0.0034
4, 45, 0.0024, 0.0028
4, 46, 0.0030, 0.0030
4, 47, 0.0014, 0.0026
4, 48, 0.0017, 0.0024
4, 49, 0.0021, 0.0024
4, 50, 0.0008, 0.0021
5, 1, 0.0016, 0.0998
5, 2, 0.0084, 0.0165
5, 3, 0.0089, 0.0183
5, 4, 0.0045, 0.0569
5, 5, 0.0190, 1.3735
5, 6, 0.0571, 1.1722
5, 7, 0.0414, 0.7743
5, 8, 0.0544, 0.6201
5, 9, 0.0492, 0.5123
5, 10, 0.0428, 0.4333
5, 11, 0.0391, 0.3146
5, 12, 0.0466, 0.2321
5, 13, 0.0218, 0.2041
5, 14, 0.0403, 0.0843
5, 15, 0.0095, 0.1228
5, 16, 0.0300, 0.2007
5, 17, 0.0090, 0.1070
5, 18, 0.0051, 0.1334
5, 19, 0.0049, 0.1080
5, 20, 0.0075, 0.0547
5, 21, 0.0047, 0.0476
5, 22, 0.0483, 0.0376
5, 23, 0.0549, 0.0418
5, 24, 0.0820, 0.0141
5, 25, 0.0034, 0.0076
5, 26, 0.0034, 0.0066
5, 27, 0.0044, 0.0055
5, 28, 0.0039, 0.0048
5, 29, 0.0027, 0.0046
5, 30, 0.0071, 0.0100
5, 31, 0.0034, 0.0044
5, 32, 0.0023, 0.0044
5, 33, 0.0013, 0.0034
5, 34, 0.0024, 0.0029
5, 35, 0.0014, 0.0027
5, 36, 0.0021, 0.0027
5, 37, 0.0012, 0.0024
5, 38, 0.0012, 0.0022
5, 39, 0.0118, 0.0024
5, 40, 0.0011, 0.0020
5, 41, 0.0013, 0.0019
5, 42, 0.0009, 0.0018
5, 43, 0.0009, 0.0018
5, 44, 0.0013, 0.0016
5, 45, 0.0009, 0.0015
5, 46, 0.0013, 0.0014
5, 47, 0.0010, 0.0014
5, 48, 0.0006, 0.0014
5, 49, 0.0010, 0.0013
5, 50, 0.0009, 0.0012
