Fold, Epoch, Last Batch Train Loss, Average Train Loss
1, 1, 0.7485, 0.7862
1, 2, 0.5570, 0.7369
1, 3, 0.8435, 0.7548
1, 4, 0.6908, 0.7452
1, 5, 0.7823, 0.7484
1, 6, 0.6480, 0.7441
1, 7, 0.6234, 0.7532
1, 8, 0.6131, 0.7511
1, 9, 0.6129, 0.7411
1, 10, 0.9107, 0.7526
1, 11, 0.8207, 0.7315
1, 12, 0.5388, 0.7376
1, 13, 0.6725, 0.7358
1, 14, 0.6242, 0.7257
1, 15, 0.7380, 0.7411
1, 16, 0.5768, 0.7304
1, 17, 0.5886, 0.7378
1, 18, 0.7963, 0.7381
1, 19, 0.6246, 0.7412
1, 20, 0.5198, 0.7427
1, 21, 0.7168, 0.7338
1, 22, 0.4976, 0.7347
1, 23, 0.5293, 0.7232
1, 24, 0.6219, 0.7302
1, 25, 0.6396, 0.7289
1, 26, 0.7241, 0.7544
1, 27, 0.6346, 0.7427
1, 28, 0.6051, 0.7373
1, 29, 0.6855, 0.7333
1, 30, 0.5056, 0.7319
1, 31, 0.6689, 0.7394
1, 32, 0.7177, 0.7254
1, 33, 0.5548, 0.7409
1, 34, 0.5779, 0.7381
1, 35, 0.5444, 0.7381
1, 36, 0.6041, 0.7489
1, 37, 0.6730, 0.7151
1, 38, 0.6000, 0.7246
1, 39, 0.6983, 0.7328
1, 40, 0.5920, 0.7459
1, 41, 0.6972, 0.7307
1, 42, 0.6208, 0.7438
1, 43, 0.7074, 0.7303
1, 44, 0.6301, 0.7133
1, 45, 0.5949, 0.7344
1, 46, 0.7585, 0.7127
1, 47, 0.7173, 0.7331
1, 48, 0.5492, 0.7353
1, 49, 0.4068, 0.7234
1, 50, 0.6176, 0.7366
2, 1, 0.6241, 0.7300
2, 2, 0.5992, 0.7249
2, 3, 0.5916, 0.7145
2, 4, 0.5462, 0.7342
2, 5, 0.7713, 0.7401
2, 6, 0.4898, 0.7224
2, 7, 0.5918, 0.7153
2, 8, 0.6147, 0.7258
2, 9, 0.5591, 0.7148
2, 10, 0.5824, 0.7283
2, 11, 0.6543, 0.7260
