Fold, Epoch, Last Batch Train Loss, Average Train Loss
1, 1, 0.0000, 16.9210
1, 2, 0.0000, 94.1597
1, 3, 0.0000, 54.7747
1, 4, 0.0000, 38.5692
1, 5, 0.0000, 33.4397
1, 6, 0.0000, 31.7149
1, 7, 0.0000, 25.0969
1, 8, 0.0000, 22.9438
1, 9, 0.0006, 19.6584
1, 10, 0.0000, 20.3116
1, 11, 0.0000, 14.9285
1, 12, 0.0001, 14.2370
1, 13, 0.0172, 12.7603
1, 14, 0.0675, 9.1967
1, 15, 0.2971, 10.2884
1, 16, 0.0102, 8.6761
1, 17, 0.0000, 7.8371
1, 18, 0.1938, 7.6333
1, 19, 0.0019, 6.5160
1, 20, 0.3512, 6.3434
1, 21, 0.4776, 4.4467
1, 22, 0.0004, 4.0802
1, 23, 0.2540, 5.1026
1, 24, 0.9506, 4.7214
1, 25, 0.0248, 4.6052
1, 26, 0.3940, 4.3779
1, 27, 0.2278, 3.8804
1, 28, 0.7139, 3.7477
1, 29, 0.0329, 3.3000
1, 30, 0.2891, 3.0800
1, 31, 0.3762, 2.9003
1, 32, 0.0227, 3.0482
1, 33, 0.1220, 2.8923
1, 34, 0.4264, 2.8349
1, 35, 0.4387, 2.5879
1, 36, 0.4351, 2.6423
1, 37, 0.0354, 2.4293
1, 38, 0.1417, 2.2767
1, 39, 0.1711, 2.3944
1, 40, 0.4733, 2.1807
1, 41, 0.0629, 2.2439
1, 42, 0.0406, 1.8483
1, 43, 0.4666, 2.1289
1, 44, 1.0810, 2.5082
1, 45, 0.2442, 2.2716
1, 46, 0.1502, 2.2830
1, 47, 0.2087, 2.1872
1, 48, 0.2968, 1.5255
1, 49, 0.1043, 1.8020
1, 50, 0.2048, 2.0261
2, 1, 0.2008, 1.9436
2, 2, 0.2864, 1.6437
2, 3, 0.1356, 1.8941
2, 4, 0.5195, 1.7202
2, 5, 0.4089, 1.5646
2, 6, 0.3637, 1.5565
2, 7, 0.4074, 1.7118
2, 8, 0.1871, 1.4132
2, 9, 0.0849, 1.4408
2, 10, 0.1432, 1.7469
2, 11, 0.2148, 1.6270
2, 12, 0.4004, 1.5751
2, 13, 0.4248, 1.4283
2, 14, 0.4558, 1.5072
2, 15, 0.4556, 1.4040
2, 16, 0.2502, 1.3017
2, 17, 0.1068, 1.2837
2, 18, 0.2627, 1.3700
2, 19, 0.1379, 1.1694
2, 20, 0.0962, 1.0519
2, 21, 0.1307, 1.2021
2, 22, 0.2372, 1.1089
2, 23, 0.1818, 1.0712
2, 24, 0.3114, 1.1422
2, 25, 0.2168, 0.9766
2, 26, 0.3949, 1.0189
2, 27, 0.2395, 1.1050
2, 28, 0.2676, 1.0466
2, 29, 0.3009, 1.1385
2, 30, 0.4018, 1.0725
2, 31, 0.1574, 1.0396
2, 32, 0.3577, 1.2347
2, 33, 0.2962, 1.0658
2, 34, 0.4522, 1.0209
2, 35, 0.2430, 0.8714
2, 36, 0.3680, 0.8611
2, 37, 0.3529, 0.9233
2, 38, 0.5066, 0.8885
2, 39, 0.4099, 0.8457
2, 40, 0.5926, 0.8867
2, 41, 0.1831, 0.8484
2, 42, 0.1873, 0.8672
2, 43, 0.6030, 0.9195
2, 44, 0.3176, 0.8498
2, 45, 0.2581, 0.8865
2, 46, 0.2631, 0.8125
2, 47, 0.4852, 0.7625
2, 48, 0.4666, 0.8241
2, 49, 0.4462, 0.8622
2, 50, 0.4189, 0.8484
3, 1, 0.6242, 0.8992
3, 2, 0.6196, 0.9370
3, 3, 0.3328, 0.8186
3, 4, 0.5705, 0.8466
3, 5, 0.6055, 0.9878
3, 6, 0.5203, 0.8789
3, 7, 1.0005, 0.8182
3, 8, 0.5711, 0.7422
3, 9, 0.4300, 0.8640
3, 10, 0.6863, 0.7696
3, 11, 0.6912, 0.8285
3, 12, 0.2779, 0.7647
3, 13, 0.5967, 0.7526
3, 14, 0.6006, 0.7120
3, 15, 0.7535, 0.7473
3, 16, 0.6691, 0.7705
3, 17, 0.5048, 0.7005
3, 18, 0.5855, 0.7236
3, 19, 0.5732, 0.7564
3, 20, 0.4848, 0.7461
3, 21, 0.8495, 0.7264
3, 22, 0.5921, 0.7278
3, 23, 0.6207, 0.7191
3, 24, 0.5445, 0.7608
3, 25, 0.3961, 0.7483
3, 26, 0.6009, 0.7126
3, 27, 0.3928, 0.6951
3, 28, 0.4464, 0.6906
3, 29, 0.4119, 0.6947
3, 30, 0.5320, 0.7085
3, 31, 0.8483, 0.7581
3, 32, 0.3816, 0.7502
3, 33, 0.4722, 0.7585
3, 34, 0.5150, 0.6477
3, 35, 0.6812, 0.6655
3, 36, 0.5182, 0.7066
3, 37, 0.5440, 0.6904
3, 38, 0.4641, 0.6557
3, 39, 0.5224, 0.6173
3, 40, 0.2487, 0.6119
3, 41, 0.6900, 0.6788
3, 42, 0.6837, 0.7203
3, 43, 0.6334, 0.6649
3, 44, 0.5587, 0.6401
3, 45, 0.3771, 0.6803
3, 46, 0.5633, 0.6385
3, 47, 0.6859, 0.6825
3, 48, 0.3275, 0.6364
3, 49, 0.4156, 0.6590
3, 50, 0.5641, 0.6809
