Fold, Epoch, Last Batch Train Loss, Average Train Loss
1, 1, 0.0000, 12.2322
1, 2, 0.0000, 77.9722
1, 3, 0.0000, 40.6118
1, 4, 0.0000, 29.6548
1, 5, 0.0000, 25.9457
1, 6, 0.0000, 18.9699
1, 7, 0.0000, 15.4260
1, 8, 0.0000, 14.5747
1, 9, 0.0010, 14.6319
1, 10, 0.0004, 11.2566
1, 11, 0.0005, 9.3647
1, 12, 1.2940, 8.4495
1, 13, 0.0435, 7.6722
1, 14, 0.0032, 9.0134
1, 15, 0.9227, 6.5044
1, 16, 0.0014, 5.8799
1, 17, 0.1200, 5.5725
1, 18, 0.0909, 4.3843
1, 19, 0.0021, 4.1491
1, 20, 0.0117, 4.2693
1, 21, 0.0369, 3.8714
1, 22, 0.1328, 3.1956
1, 23, 0.3751, 3.2055
1, 24, 0.3906, 2.8051
1, 25, 0.3999, 2.9225
1, 26, 0.2299, 2.4449
1, 27, 0.1044, 2.5841
1, 28, 0.3011, 2.6440
1, 29, 0.2751, 2.4366
1, 30, 0.5102, 2.0609
1, 31, 0.3721, 2.4909
1, 32, 0.2217, 2.2670
1, 33, 0.4044, 2.2941
1, 34, 0.2741, 1.8723
1, 35, 0.0008, 1.9256
1, 36, 0.3426, 1.9315
1, 37, 0.1581, 1.9445
1, 38, 0.3263, 2.5065
1, 39, 0.2217, 1.7607
1, 40, 0.1071, 1.7971
1, 41, 0.1830, 1.8184
1, 42, 0.1113, 1.9178
1, 43, 0.1844, 1.3999
1, 44, 0.2054, 1.8052
1, 45, 0.3175, 1.7528
1, 46, 0.1056, 1.4810
1, 47, 0.1200, 1.4388
1, 48, 0.4730, 1.6832
1, 49, 0.2137, 1.7406
1, 50, 0.0807, 1.5699
2, 1, 0.0899, 1.2140
2, 2, 0.0092, 1.5873
2, 3, 0.0357, 1.4456
2, 4, 0.0602, 1.5541
2, 5, 0.0425, 1.2630
2, 6, 0.0972, 1.2742
2, 7, 0.1203, 1.2694
2, 8, 0.0614, 1.1876
2, 9, 0.1460, 1.2414
2, 10, 0.0589, 1.1027
2, 11, 0.0473, 1.2914
2, 12, 0.0768, 1.2428
2, 13, 0.0597, 1.2153
2, 14, 0.1007, 1.0038
2, 15, 0.1731, 0.9760
2, 16, 0.0832, 1.1069
2, 17, 0.1697, 1.0089
2, 18, 0.0893, 1.0829
2, 19, 0.1267, 1.0449
